invisible	Meantime	[MASK], however, unhoused, I felt at once exposed and invisible. How shall I describe it, this sense of myself as something without weight, without moorings, a floating phantom? Other people seemed to have a density, a thereness, which I lacked.

Ponyboy	Charlie	In the hot, hazy dusk the streets seemed wider, flattened, somehow, and the cars scudded along, sleek as seals in the sodium glare. I got back late to [MASK]’s house, footsore, hot and dishevelled, my hat awry, but filled with a mysterious sense of achievement.

""	Anna	I climbed a zigzag of damp steps to the door, looking about me with an expression of bland interest, trying to appear blameless, as I always seem to do when I am on unfamiliar territory. [MASK] wore shorts, and her hair was loose.

Ponyboy	Daphne	When such a thing does happen it is awful, just awful, and afterwards the one that it happened to is an object of sympathy and awe amongst us, as if he had suffered a bereavement. No fear of [MASK] making a scene.

""	Max	I watched as she was driven away, sitting up very straight in the back of one of the black limousines, a ravaged Ncfcrtiti. [MASK] and his pals went upstairs again, and caroused until the dawn was breaking.

Ponyboy	Charlie	[MASK] too was sleepless, I would hear at all hours his creaking step on the stair, the rattle of the teapot in the kitchen, the laborious, spasmodic tinkle as he emptied his old man’s bladder in the bathroom. We saw little of each other.

Ponyboy	Madge	The rain teemed, big drops dancing on the road and making the surface of the water in the harbour seethe. I heard the front door open and bang shut, and [MASK] and the girl appeared below me and scampered away up the street with their coats over their heads.

Ponyboy	Bunter	But I insist, your honour, gentle handymen of the jury, I insist it was an innocent desire, a wish, an ache, on the part of the deprived child inside me — not [MASK], not him, but the true, lost ghost of my boyhood — to possess this marvellous toy.

""	Anna	— but it was impossible. He talked about the bombing. Five dead - or was it six by now? - from a mere two pounds of explosive! He sighed and shook his head. He seemed more impressed than shocked. [MASK] hardly spoke.

""	Charlie	No, I shouted, no, he’s not here! and threw down the receiver. Almost at once the thing began to shrill again. Wait, wait, don’t hang up, the voice said, this is [MASK]. I laughed, of course.

""	Charlie	Simple as that. For a moment we were silent. And will that work, I said, will that save him? He frowned in puzzlement, and at once I saw I had been wrong, that [MASK] and his embarrassment were not the subject here.

Inspector	Haslet	All that happened, however, was that I grew bored — I could not take them seriously - and got muddled, and began to contradict myself. After a while they too seemed to grow discouraged, and eventually left. Then my chum Inspector [MASK] came sidling in with his shy smile and averted glance.

Ponyboy	Frederick	But calm, [MASK], calm. Forgive me this outburst, your honour. It is just that I do not believe such moments mean anything - or any other moments, for that matter. They have significance, apparently. They may even have value of some sort.

""	Hogg	There was a silence. He was still considering the comer of the ceiling. He might not have been listening to me at all. Jesus, [MASK] said quietly, with no particular emphasis, and the guard behind the desk cleared his throat.

""	Branch	[MASK], he said. He sat down, looked at the floor, drummed his fingers on the table. Listen, I said, I’m worried, my wife, I - He wasn’t listening, wasn’t interested. He brought up the matter of my confession.

Ponyboy	Haslet	Everything swam. [MASK] was behind me, I knew his step by now. In the street a little crowd had gathered. How did they know who I was, which court I would be in, the time at which I would appear?

""	Madge	Across the road, at the harbour wall, a man in a raincoat stood with his hands clasped behind his back, gazing out to sea. I could hear voices downstairs. [MASK] was in the kitchen doing last night’s washing-up. She gave me a peculiar glance.

""	Haslet	I tried not to cough. Tell me, I said to [MASK], how did you find me? He shrugged. He had the air of a schoolboy who has scored an embarrassingly high mark in his exams. The girl in the paper shop, he said.

Ponyboy	Barker	[MASK] today wore a blue suit which had been cut in great broad swathes, as if it were intended not for wearing, but to house a collection of things, boxes, perhaps. He was redfaced and in a sweat already.

""	Charlie	(How could I have imagined they would care a fig for [MASK], or his reputation?) I would do all I could for him, that went without saying, though it seemed to me a bit late now.

Gerty	Charles	I motioned to the chair opposite me and he sat down gingerly. I had started on the cold remains of last night’s boiled potatoes. I was ravenous, I could not get enough to eat. [MASK], I said, you look terrible. He did.

""	Bunter	For he was let slip once, was [MASK], just once, and look what happened.) I hope I do not give the impression that I disliked my father. We did not converse much, but we were perfectly companionable, in the way of fathers and sons.

Gerty	Maolseachlainn	He smiles carefully, unsure that it is a joke. I divert him with tales of prison life, fleshing them out with impersonations - I do our governor here very convincingly. When [MASK] laughs there is no sound, only a slow heaving of the shoulders and a stretched, shiny grin.

""	Anna	Her eyes were closed, and she was smiling with her eyebrows raised, as if she were listening to a distant, dreamy, and slightly funny melody. I heard a sound, and looked over my shoulder. [MASK] was standing in the doorway.

Ponyboy	Charlie	The night was made of glass. I was very drunk. [MASK] helped me along. He was worrying about his briefcase, and clutched it tightly under his arm. Every few yards I had to stop and tell him how good he was.

""	Daphne	But what do I know, I ask you? It was one of the mad widow’s catchphrases. Suddenly everything was sad and grey and waste. [MASK] put her face against my shoulder and began to weep silently. I will always remember those children’s voices.

Ponyboy	Madge	I laughed to sec them go, the child leaping the puddles and [MASK] wallowing in her wake. Then I spotted the car, parked a little way up the road, on the other side, with two dim, large, motionless figures seated in the front, their faces blurred behind the streaming windscreen.

""	Cunningham	I told him about [MASK]’s marvellous document. I must have grown excited in the telling, for his brow darkened, and he closed his eyes behind his halfglasses as if in pain and held up a hand to silence me.

""	Hogg	He had been eating chips, I could smell them on his breath. I peered in bafflement at the ill-typed page. That’s your confession, [MASK] said. Feel like signing it? The lag next door cackled grimly. What are you talking about?

""	Melmoth	A rusty tin sign nailed to the wall above his head proclaimed: [MASK]’s ar Hire. The boy paused and looked at me blankly. He had stopped whistling, but kept his lips puckered. Car? I said, pointing to the sign, for hire, yes?

""	Freddie	Relieved, he gave a breathy laugh and glanced around the bar. That I did remember, that glance, as if he had just discovered his flies were open and was looking to see if anyone had noticed. [MASK]! he said. Well well!

Gerty	Flynn	There is something lewd about them which repels me. I have no doubt the prison shrink could explain what such an aversion signifies — and I’ve no doubt, too, that in my case he would be wrong. [MASK]’s was a particularly offensive specimen.

""	Anna	She had wandered unchallenged into the casualty ward. There were bodies lying everywhere. She walked among the dead and dying, feeling like a survivor herself. Good God, [MASK], I said. She gave a tense little laugh.

""	Behrens	And is it not further the case that I had reason already to feel resentment against the man [MASK], who had attempted to cuckold my father in -But hold on there, old man, I said: that last bit only came to light later on.

""	Patch	I stepped into the hall and for an instant it was as if I had stepped soundlessly through the membrane of time itself. I faltered, tottering inwardly. Hatstand with broken umbrella, that floor tile, still loose. Get out, [MASK], damn you!

Ponyboy	Flynn	What an experience, she said — luckily [MASK] keeps a flask of something in the glove compartment. She had taken a few good swigs, and was beginning to regret it now. We went into the house. The uniformed doorman was nowhere to be seen.

""	Freddie	I’m down the road, he said, just down the road. I was still laughing. Then there was a silence. The guards are here, [MASK], he said, they want to speak to you, there’s been some sort of misunderstanding.

Gerty	Footballer	I noticed again that brief grimace of pain. Bad knee. [MASK]. Sunday afternoons, the shouts muffled in grey air, the flat thud of leather on leather. Now what, I said, what happens now? I did not want him to leave me yet.

""	Wally	They were draped about with ropes and chains and what looked like cartridge belts, and sported gold studs in their nostrils. I had never seen such creatures, I thought they must be members of some fantastic sect. I fled before them, and dived into [MASK]’s pub.

Ponyboy	Whitewater	We dined at a rickety table in the bay of a tall window overlooking the garden. The cutlery was cheap, the plates mismatched. It was something I remembered about [MASK], the makeshift way that life was lived in odd comers, at the edge of things.

""	Charlie	In fact, what I was imagining was [MASK] in his poky gallery, bowing and scraping and wringing his hands in front of some fur-coated bitch reeking of face-powder and perspiration, whose hubby had given her the money to bag a bauble for her birthday.

Ponyboy	Daphne	I do not know that I loved [MASK] in the manner that the world understands by that word, but I do know that I loved her ways. Will it seem strange, cold, perhaps even inhuman, if I say that I was only interested really in what she was on the surface?

Gerty	Daphne	Outside on the lawn the last of the day’s sunlight thickened briefly, then faded. My mother was asking after [MASK] and the child. At the thought of them something like a great sob, lugubrious, faintly comical, ballooned under my breastbone.

""	Anna	Her lips were parted, and she frowned a little, gazing at [MASK]’s bared flesh, lost in a sort of vague amazement. I could feel her heartbeat, and my own. We might have been attending at a ritual disrobing.

Gerty	Euphorion	But I am not [MASK]. I am not even his father. The question is wrong, that’s the trouble. It assumes that actions arc determined by volition, deliberate thought, a careful weighing-up of facts, all that puppet-show twitching which passes for consciousness.

""	Maolseachlainn	-his-name would be too much of a gentleman not to let her go. It was noon when [MASK] arrived, though he had the rumpled air of having just got out of bed. He always looks like that, it is another of his endearing characteristics.

""	Freddie	He kept his eyes on my plate, the mess of spuds there. Something had happened to the silence around us. I realised that the rain had stopped. God almighty, [MASK], he said softly, what have you done? He seemed more bemused than shocked.

""	Charlie	He would take care of me. I gulped my tea and gloomed at my untouched fry congealing on its plate. A car-horn tooted outside, and [MASK] with an exclamation whipped off his apron and hurried out of the kitchen. I listened to him blundering about the house.

""	Smyth	I had paid a deposit of five pounds, and signed a document in the name of [MASK] (I thought the y a fiendishly clever touch). The woman had not even asked to see a driving licence. As I say, this is a wonderful country.

""	Charlie	[MASK] looked up at the window where I stood, and the driver followed his glance. I saw myself as they would see me, a blurred face floating behind the glass, blear-eyed, unshaven, the very picture of a fugitive.

Ponyboy	Haslet	No one laughed, and [MASK] pretended he had not heard. I thought it was awfully witty, of course. I was still in that mood of mad elation, I cannot explain it. I seemed not to walk but bound along, brimful of tigerish energy.

Gerty	Anna	Her hand, so to speak, had already been granted me. We were married one misty, hot afternoon in August. The ceremony was quick and squalid. I had a headache all through it. [MASK] and a colleague of mine from the university acted as witnesses.

Watteau	Fragonard	There was a [MASK], too, and a Watteau. And this was only the hallway. What was going on, what had happened, that it was all left unattended like this? I heard the taximan outside sounding his horn, a tentative, apologetic little toot.

Ponyboy	Anna	Oh dark, dark. 1 expected to be asked to stay the night, but when we had drunk our coffee [MASK] excused herself, and came back in a minute and said she had phoned for a taxi. I was offended.

Carrion	Frederick	Imagine what is going on inside, the purple pump shuddering and squelching, lungs fluttering, and, down in the dark, the glue factory at its ceaseless work. Animate carrion, slick with gleet, not ripe enough yet for the worms. Ach, I should -Calm, [MASK].

Ponyboy	Shocked	I put my hand on its flank to push it away, and was startled by the solidity, the actuality of the animal, the coarse dry coat, the dense unyielding flesh beneath, the blood warmth. [MASK], I took my hand away quickly and stepped back.

""	Anna	I sat down gingerly on one of the Louis Quinze chairs while [MASK] opened the carved and curlicued sideboard and poured out two whopping measures of gin. There was no ice, and the tonic was flat, but I didn’t care, I needed a drink.

